last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Dickerson, Alex,543105,2020,170,122,.298,.266,0.032,.576,.491,0.085,.394,.353,0.041
Candelario, Jeimer,600869,2020,206,136,.297,.276,0.021,.503,.469,0.034,.373,.353,0.020
Canó, Robinson,429664,2020,182,148,.316,.297,0.019,.544,.481,0.063,.376,.352,0.024
Swanson, Dansby,621020,2020,264,167,.274,.266,0.008,.464,.472,-0.008,.348,.352,-0.004
Contreras, Willson,575929,2020,225,134,.243,.249,-0.006,.407,.441,-0.034,.336,.352,-0.016
Rizzo, Anthony,519203,2020,243,167,.222,.265,-0.043,.414,.411,0.003,.326,.352,-0.026
Moran, Colin,592567,2020,200,127,.247,.253,-0.006,.472,.480,-0.008,.340,.348,-0.008
La Stella, Tommy,600303,2020,228,187,.281,.273,0.008,.449,.420,0.029,.355,.346,0.009
Pollock, AJ,572041,2020,210,153,.276,.271,0.005,.566,.499,0.067,.364,.346,0.018
Gurriel Jr., Lourdes,666971,2020,224,162,.308,.280,0.028,.534,.484,0.050,.372,.345,0.027
Aguilar, Jesús,542583,2020,216,152,.277,.271,0.006,.457,.453,0.004,.347,.345,0.002
Lindor, Francisco,596019,2020,266,197,.258,.278,-0.020,.415,.439,-0.024,.324,.345,-0.021
Lewis, Kyle,641786,2020,242,137,.262,.238,0.024,.437,.431,0.006,.349,.343,0.006
Reyes, Franmil,614177,2020,241,147,.275,.245,0.030,.450,.439,0.011,.341,.340,0.001
Duvall, Adam,594807,2020,209,137,.237,.227,0.010,.532,.514,0.018,.348,.340,0.008
Laureano, Ramón,657656,2020,222,128,.213,.235,-0.022,.366,.408,-0.042,.315,.340,-0.025
Bogaerts, Xander,593428,2020,225,163,.300,.257,0.043,.502,.471,0.031,.368,.339,0.029
Kepler, Max,596146,2020,196,136,.228,.256,-0.028,.439,.422,0.017,.328,.338,-0.010
Suárez, Eugenio,553993,2020,231,132,.202,.213,-0.011,.470,.467,0.003,.332,.338,-0.006
Merrifield, Whit,593160,2020,265,216,.282,.292,-0.010,.440,.439,0.001,.329,.336,-0.007
Walker, Christian,572233,2020,243,171,.271,.264,0.007,.459,.452,0.007,.339,.336,0.003
Arcia, Orlando,606115,2020,189,142,.260,.279,-0.019,.416,.425,-0.009,.317,.336,-0.019
Olson, Matt,621566,2020,245,133,.195,.221,-0.026,.424,.447,-0.023,.316,.336,-0.020
McNeil, Jeff,643446,2020,209,162,.311,.276,0.035,.454,.405,0.049,.360,.335,0.025
Moreland, Mitch,519048,2020,152,104,.265,.236,0.029,.551,.476,0.075,.372,.335,0.037
Severino, Pedro,600474,2020,178,121,.250,.267,-0.017,.388,.427,-0.039,.312,.335,-0.023
Schwarber, Kyle,656941,2020,224,125,.188,.220,-0.032,.393,.434,-0.041,.307,.335,-0.028
Profar, Jurickson,595777,2020,202,155,.278,.279,-0.001,.428,.406,0.022,.335,.334,0.001
Braun, Ryan,460075,2020,141,103,.233,.272,-0.039,.488,.474,0.014,.317,.334,-0.017
Story, Trevor,596115,2020,259,172,.289,.252,0.037,.519,.455,0.064,.370,.333,0.037
Bregman, Alex,608324,2020,180,128,.242,.252,-0.010,.451,.391,0.060,.345,.333,0.012
Riley, Austin,663586,2020,206,140,.239,.258,-0.019,.415,.463,-0.048,.307,.333,-0.026
Moustakas, Mike,519058,2020,163,105,.230,.240,-0.010,.468,.430,0.038,.340,.332,0.008
Tucker, Kyle,663656,2020,228,164,.268,.265,0.003,.512,.454,0.058,.349,.331,0.018
Guerrero Jr., Vladimir,665489,2020,243,183,.262,.260,0.002,.462,.437,0.025,.338,.331,0.007
Torres, Gleyber,650402,2020,160,108,.243,.243,0.000,.368,.381,-0.013,.326,.331,-0.005
Ohtani, Shohei,660271,2020,175,103,.190,.234,-0.044,.366,.423,-0.057,.290,.331,-0.041
Rojas, Miguel,500743,2020,143,107,.304,.275,0.029,.496,.381,0.115,.379,.330,0.049
Grichuk, Randal,545341,2020,231,169,.273,.266,0.007,.481,.463,0.018,.334,.330,0.004
Hernández, Cèsar,514917,2020,261,177,.283,.273,0.010,.408,.396,0.012,.334,.328,0.006
Alonso, Pete,624413,2020,239,148,.231,.222,0.009,.490,.459,0.031,.342,.328,0.014
Dozier, Hunter,641531,2020,186,110,.228,.233,-0.005,.392,.383,0.009,.326,.328,-0.002
Upton, Justin,457708,2020,166,105,.204,.228,-0.024,.422,.430,-0.008,.307,.328,-0.021
Blackmon, Charlie,453568,2020,247,182,.303,.276,0.027,.448,.429,0.019,.340,.327,0.013
Reyes, Victor,622682,2020,213,157,.277,.286,-0.009,.391,.428,-0.037,.307,.327,-0.020
Grandal, Yasmani,518735,2020,194,105,.230,.207,0.023,.422,.403,0.019,.338,.327,0.011
Devers, Rafael,646240,2020,248,165,.263,.255,0.008,.483,.458,0.025,.337,.326,0.011
Brantley, Michael,488726,2020,187,142,.300,.260,0.040,.476,.413,0.063,.362,.325,0.037
Valaika, Pat,642162,2020,150,108,.277,.263,0.014,.475,.458,0.017,.337,.325,0.012
Grossman, Robbie,543257,2020,192,128,.241,.239,0.002,.482,.397,0.085,.351,.325,0.026
Tsutsugo, Yoshi,660294,2020,185,108,.197,.211,-0.014,.395,.421,-0.026,.309,.325,-0.016
Pillar, Kevin,607680,2020,223,167,.288,.268,0.020,.462,.429,0.033,.341,.323,0.018
Anderson, Brian,605119,2020,229,135,.255,.227,0.028,.465,.427,0.038,.348,.323,0.025
Shaw, Travis,543768,2020,180,114,.239,.241,-0.002,.411,.436,-0.025,.310,.323,-0.013
Robert, Luis,673357,2020,227,131,.233,.223,0.010,.436,.462,-0.026,.313,.322,-0.009
Solano, Donovan,456781,2020,203,152,.326,.280,0.046,.463,.418,0.045,.357,.321,0.036
Marte, Starling,516782,2020,250,188,.281,.262,0.019,.430,.417,0.013,.333,.321,0.012
Solak, Nick,669256,2020,233,171,.268,.264,0.004,.344,.388,-0.044,.297,.318,-0.021
Segura, Jean,516416,2020,217,148,.266,.250,0.016,.422,.391,0.031,.333,.318,0.015
Dubón, Mauricio,643289,2020,177,124,.274,.256,0.018,.389,.402,-0.013,.316,.317,-0.001
García, Avisaíl,541645,2020,207,132,.238,.244,-0.006,.326,.375,-0.049,.296,.317,-0.021
Fletcher, David,664058,2020,230,185,.319,.292,0.027,.425,.351,0.074,.350,.316,0.034
Rosario, Eddie,592696,2020,231,178,.257,.244,0.013,.476,.435,0.041,.333,.316,0.017
Cabrera, Asdrúbal,452678,2020,213,154,.242,.242,0.000,.447,.427,0.020,.319,.316,0.003
Ramos, Wilson,467092,2020,155,112,.239,.247,-0.008,.387,.419,-0.032,.297,.316,-0.019
Martinez, J.D.,502110,2020,237,154,.213,.229,-0.016,.389,.444,-0.055,.290,.316,-0.026
Crawford, J.P.,641487,2020,232,167,.255,.254,0.001,.338,.357,-0.019,.303,.315,-0.012
DeJong, Paul,657557,2020,174,106,.250,.238,0.012,.349,.406,-0.057,.296,.315,-0.019
Gurriel, Yuli,493329,2020,230,189,.232,.262,-0.030,.384,.404,-0.020,.281,.315,-0.034
Hiura, Keston,669374,2020,246,134,.212,.209,0.003,.410,.433,-0.023,.304,.315,-0.011
Núñez, Renato,600524,2020,216,132,.256,.227,0.029,.492,.431,0.061,.347,.314,0.033
Gonzalez, Marwin,503556,2020,199,138,.211,.240,-0.029,.320,.401,-0.081,.269,.314,-0.045
Biggio, Cavan,624415,2020,265,159,.250,.214,0.036,.432,.343,0.089,.354,.313,0.041
Edman, Tommy,669242,2020,227,158,.250,.265,-0.015,.368,.366,0.002,.302,.313,-0.011
Gallo, Joey,608336,2020,226,114,.181,.191,-0.010,.378,.416,-0.038,.297,.313,-0.016
Flores, Wilmer,527038,2020,213,163,.268,.249,0.019,.515,.434,0.081,.347,.312,0.035
Correa, Carlos,621043,2020,221,153,.264,.253,0.011,.383,.399,-0.016,.308,.312,-0.004
Akiyama, Shogo,673451,2020,183,121,.245,.243,0.002,.297,.324,-0.027,.302,.311,-0.009
Reynolds, Bryan,668804,2020,208,128,.189,.228,-0.039,.357,.403,-0.046,.276,.310,-0.034
Gregorius, Didi,544369,2020,237,190,.284,.262,0.022,.488,.394,0.094,.348,.309,0.039
Margot, Manuel,622534,2020,159,121,.269,.258,0.011,.352,.378,-0.026,.301,.308,-0.007
Markakis, Nick,455976,2020,141,107,.254,.274,-0.020,.392,.361,0.031,.307,.308,-0.001
Crawford, Brandon,543063,2020,193,127,.256,.234,0.022,.465,.396,0.069,.334,.307,0.027
Frazier, Adam,624428,2020,230,175,.230,.250,-0.020,.364,.376,-0.012,.291,.307,-0.016
Dickerson, Corey,572816,2020,210,159,.258,.253,0.005,.402,.400,0.002,.306,.306,0.000
Bradley Jr., Jackie,598265,2020,217,144,.283,.227,0.056,.450,.373,0.077,.352,.305,0.047
Franco, Maikel,596748,2020,243,189,.278,.254,0.024,.457,.394,0.063,.329,.305,0.024
Adames, Willy,642715,2020,205,111,.259,.228,0.031,.481,.392,0.089,.347,.305,0.042
Escobar, Eduardo,500871,2020,222,164,.212,.261,-0.049,.335,.394,-0.059,.257,.305,-0.048
Polanco, Jorge,593871,2020,226,177,.258,.263,-0.005,.354,.381,-0.027,.289,.304,-0.015
Ahmed, Nick,605113,2020,217,153,.266,.244,0.022,.402,.374,0.028,.318,.302,0.016
Marte, Ketel,606466,2020,195,163,.287,.261,0.026,.409,.375,0.034,.316,.301,0.015
Wendle, Joey,621563,2020,184,134,.286,.253,0.033,.435,.370,0.065,.335,.300,0.035
Reddick, Josh,502210,2020,210,147,.245,.245,0.000,.378,.358,0.020,.303,.300,0.003
Gordon, Alex,460086,2020,184,126,.209,.230,-0.021,.307,.352,-0.045,.275,.300,-0.025
Eaton, Adam,594809,2020,176,131,.226,.246,-0.020,.384,.387,-0.003,.287,.299,-0.012
Galvis, Freddy,520471,2020,159,111,.220,.219,0.001,.404,.358,0.046,.312,.299,0.013
Verdugo, Alex,657077,2020,221,157,.308,.238,0.070,.478,.369,0.109,.362,.298,0.064
Molina, Yadier,425877,2020,156,126,.262,.254,0.008,.359,.385,-0.026,.290,.298,-0.008
Bell, Josh,605137,2020,223,140,.226,.228,-0.002,.364,.381,-0.017,.286,.297,-0.011
García, Luis,671277,2020,139,105,.276,.267,0.009,.366,.377,-0.011,.291,.296,-0.005
Peralta, David,444482,2020,218,160,.300,.258,0.042,.433,.371,0.062,.333,.295,0.038
Hampson, Garrett,641658,2020,184,111,.234,.229,0.005,.383,.388,-0.005,.290,.295,-0.005
Kiner-Falefa, Isiah,643396,2020,228,180,.280,.260,0.020,.370,.340,0.030,.307,.293,0.014
Piscotty, Stephen,572039,2020,171,108,.226,.237,-0.011,.358,.398,-0.040,.273,.293,-0.020
Pujols, Albert,405395,2020,163,128,.224,.243,-0.019,.395,.394,0.001,.282,.293,-0.011
McMahon, Ryan,641857,2020,193,107,.215,.203,0.012,.419,.394,0.025,.308,.293,0.015
Schoop, Jonathan,570731,2020,177,125,.278,.242,0.036,.475,.386,0.089,.338,.292,0.046
González, Erik,570481,2020,193,134,.227,.237,-0.010,.359,.394,-0.035,.262,.292,-0.030
Wong, Kolten,543939,2020,208,154,.265,.241,0.024,.326,.311,0.015,.305,.291,0.014
Hernández, Enrique,571771,2020,148,109,.230,.224,0.006,.410,.383,0.027,.290,.289,0.001
Frazier, Todd,453943,2020,172,115,.236,.221,0.015,.382,.363,0.019,.300,.288,0.012
Moncada, Yoán,660162,2020,231,130,.225,.206,0.019,.385,.334,0.051,.309,.288,0.021
Tapia, Raimel,606132,2020,206,150,.321,.251,0.070,.402,.331,0.071,.335,.287,0.048
Lopez, Nicky,670032,2020,192,131,.201,.238,-0.037,.266,.308,-0.042,.254,.287,-0.033
Arenado, Nolan,571448,2020,201,166,.253,.235,0.018,.434,.392,0.042,.308,.286,0.022
Altuve, Jose,514888,2020,210,153,.219,.229,-0.010,.344,.347,-0.003,.278,.286,-0.008
Vázquez, Christian,543877,2020,189,130,.283,.221,0.062,.457,.356,0.101,.346,.284,0.062
Newman, Kevin,621028,2020,172,138,.224,.247,-0.023,.276,.328,-0.052,.251,.284,-0.033
Semien, Marcus,543760,2020,236,161,.223,.203,0.020,.374,.344,0.030,.299,.281,0.018
Lopes, Tim,621005,2020,151,109,.238,.235,0.003,.364,.347,0.017,.279,.276,0.003
Ruiz, Rio,547004,2020,204,141,.222,.211,0.011,.427,.354,0.073,.303,.276,0.027
Encarnación, Edwin,429665,2020,181,106,.157,.161,-0.004,.377,.366,0.011,.270,.275,-0.005
Báez, Javier,595879,2020,235,149,.203,.215,-0.012,.360,.380,-0.020,.256,.274,-0.018
Murphy, Daniel,502517,2020,132,103,.236,.238,-0.002,.333,.345,-0.012,.257,.269,-0.012
Mondesi, Adalberto,609275,2020,233,151,.256,.214,0.042,.416,.353,0.063,.305,.266,0.039
Simmons, Andrelton,592743,2020,127,102,.297,.238,0.059,.356,.281,0.075,.313,.262,0.051
Robles, Victor,645302,2020,189,118,.220,.205,0.015,.315,.280,0.035,.273,.261,0.012
Alberto, Hanser,593643,2020,231,193,.283,.244,0.039,.393,.316,0.077,.301,.259,0.042
Rosario, Amed,642708,2020,147,109,.252,.230,0.022,.371,.335,0.036,.277,.257,0.020
Villar, Jonathan,542340,2020,207,134,.232,.208,0.024,.292,.277,0.015,.266,.253,0.013
Mullins, Cedric,656775,2020,153,107,.271,.214,0.057,.407,.297,0.110,.313,.250,0.063
